Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
82,02.07.2013,Москва,не согласовано,Unauthorised,акция,Direct action,ЛГБТ,LGBTQ,другое,Other,ЛГБТ-Акция у администрации президента,,ОВД Китай-город,у Администрации президента,4,"http://ovdinfo.org/express-news/2013/07/02/zaderzhannye-lgbt-aktivisty-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/07/02/u-administracii-prezidenta-zaderzhany-chetvero-lgbt-aktivistov"
83,02.07.2013,Москва,не согласовано,Unauthorised,пикет,Picket,другое,Other,Другая Россия,Other Russia,Акция против экономической амнистии,,ОВД Тверское,Охотный ряд,4,"http://ovdinfo.org/express-news/2013/07/02/iz-ovd-tverskoe-otpushcheny-zaderzhannye-ranee-zaderzhannye-u-gosdumy-posle, http://ovdinfo.org/express-news/2013/07/02/u-gosdumy-zaderzhany-chetvero-drugorossov-protestovavshih-protiv-zakona-ob"
84,05.07.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,антиПутин,anti-Putin,другое,Other,Одиночный пикет на Новокузнецкой,,ОВД Замоскворечье,м. Новокузнецкая,1,http://ovdinfo.org/express-news/2013/07/05/aktivist-vladimir-ionov-zaderzhan-u-m
85,05.07.2013,Москва,не согласовано,Unauthorised,акция,Direct action,социальная,Social,другое,Other,Акция у здания Госдумы против реформы РАН,,ОВД Тверское,Охотный ряд,5,http://ovdinfo.org/express-news/2013/07/05/u-gosdumy-zaderzhany-5-aktivistov-protestovavshih-protiv-reformy-ran-pod
86,06.07.2013,Москва,не согласовано,Unauthorised,прогулка,Stroll,политзеки,Political prisoners,стихийная,Spontaneous,Гуляния на Красной площади,,автозак,Красная площадь,5,"http://ovdinfo.org/express-news/2013/07/06/zaderzhanye-na-krasnoy-ploshchadi-otpushcheny, http://ovdinfo.org/express-news/2013/07/06/na-krasnoy-ploshchadi-zaderzhany-5-chelovek"
87,10.07.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Акция многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"Переяславский переулок, 4",7,"http://ovdinfo.org/express-news/2013/07/11/iz-ovd-meshchanskiy-vypushcheny-ostavshiesya-zaderzhannye-u-priemnoy-er, http://ovdinfo.org/express-news/2013/07/10/irinu-kalmykovu-vypustili-iz-ovd-meshchanskoe, http://ovdinfo.org/express-news/2013/07/10/eshche-pyat-chelovek-zaderzhany-u-priemnoy-edinoy-rossii, http://ovdinfo.org/express-news/2013/07/10/lager-u-priemnoy-edinoy-rossii-razgromlen-zaderzhano-dva-aktivista"
88,10.07.2013,Москва,не согласовано,Unauthorised,агитация,Agitation,выборы,For fair elections,штаб Навального,,Агитационная прогулка Навального,,ОВД Тверское,Трубная площадь,1,"http://ovdinfo.org/express-news/2013/07/10/nikolaya-lyaskina-otpustili-iz-ovd-tverskoe, http://ovdinfo.org/express-news/2013/07/10/vo-vremya-agitacionnoy-progulki-alekseya-navalnogo-zaderzhan-nikolay-lyaskin"
89,10.07.2013,Москва,не согласовано,Unauthorised,митинг,Rally,выборы,For fair elections,стихийная,Spontaneous,Митинг сторонников Навального у Моизбиркома,,автозак,около Мосгоризбиркома,1,http://ovdinfo.org/express-news/2013/07/10/okolo-mosizbirkoma-zaderzhan-i-srazu-zhe-otpushchen-aleksey-navalnyy
90,14.07.2013,Москва,не согласовано,Unauthorised,акция,Direct action,ЛГБТ,LGBTQ,другое,Other,ЛГБТ-акция на Красной площади,,ОВД Китай-город,Красная площадь,5,"http://ovdinfo.org/express-news/2013/07/14/vse-zaderzhannye-na-krasnoy-ploshchadi-otpushcheny, http://ovdinfo.org/express-news/2013/07/14/na-krasnoy-ploshchadi-na-antigomofobnom-pikete-zaderzhano-pyatero"
91,18.07.2013,Москва,не согласовано,Unauthorised,митинг,Rally,политзеки,Political prisoners,стихийная,Spontaneous,Акция в поддержку Алексея Навального в Москве,,"ОВД Пресненский - 21+8, ОВД Тверской - 14+5, ОВД Таганский - 33, ОВД Китай-город - 1, ОВД Мещанский - 17, ОВД Басманный - 19, ОВД Красносельский - 21, ОВД Арбат - 19, ОВД Якиманка - 12, ОВД Преображенский - 15",Манежная площадь,195,"http://ovdinfo.org/express-news/2013/07/20/policiya-cherez-tvitter-obvinila-aktivistov-v-vandalizme, http://ovdinfo.org/express-news/2013/07/19/zaderzhaniya-avtomobilistov-vozle-manezhnoy-ploshchadi, http://ovdinfo.org/express-news/2013/07/19/po-nashey-informacii-vse-zaderzhannye-v-centre-moskvy-otpushcheny, http://ovdinfo.org/express-news/2013/07/19/iz-ovd-yakimanka-otpushcheny-vse-12-chelovek-bez-sostavleniya-protokolov, http://ovdinfo.org/express-news/2013/07/19/iz-ovd-basmannoe-otpustili-18-chelovek, http://ovdinfo.org/express-news/2013/07/19/shest-chelovek-otpustili-iz-ovd-meshchanskoe, http://ovdinfo.org/express-news/2013/07/19/v-centre-moskvy-zaderzhany-18-19-iyulya-199-chelovek, http://ovdinfo.org/express-news/2013/07/19/moskovskaya-policiya-zaderzhivaet-zhurnalistov, http://ovdinfo.org/express-news/2013/07/19/v-moskve-18-19-iyulya-zaderzhany-v-obshchey-slozhnosti-169-chelovek, http://ovdinfo.org/express-news/2013/07/18/desyat-chelovek-zaderzhany-na-mohovoy-naprotiv-zdaniya-gosdumy, http://ovdinfo.org/express-news/2013/07/18/zaderzhannym-v-ovd-tverskoe-oformili-protokoly-po-state-202-koap, http://ovdinfo.org/express-news/2013/07/18/v-rayone-manezhnoy-ploshchadi-zaderzhany-v-obshchey-slozhnosti-58-chelovek, http://ovdinfo.org/express-news/2013/07/18/ryadom-s-manezhnoy-ploshchadyu-zaderzhany-v-obshchey-slozhnosti-36-chelovek, http://ovdinfo.org/express-news/2013/07/18/avtozak-s-dvadcatyu-zaderzhannymi-na-manezhnoy-ploshchadi-edet-v-presnenskoe, http://ovdinfo.org/express-news/2013/07/18/vosem-chelovek-zaderzhany-na-manezhnoy-ploshchadi, http://ovdinfo.org/express-news/2013/07/18/na-manezhnoy-ploshchadi-v-moskve-nachalis-zaderzhaniya, http://ovdinfo.org/express-news/2013/07/19/zaderzhaniya-avtomobilistov-vozle-manezhnoy-ploshchadi"
92,19.07.2013,Москва,не согласовано,Unauthorised,прогулка,Stroll,политзеки,Political prisoners,стихийная,Spontaneous,Задержание на Манежное площади,,ОВД Китай-город,Манежная площадь,6,"http://ovdinfo.org/express-news/2013/07/19/vseh-ranee-zaderzhannyh-na-manezhnoy-ploshchadi-otpustili-iz-ovd, http://ovdinfo.org/express-news/2013/07/19/novye-zaderzhaniya-na-manezhnoy-ploshchadi"
93,19.07.2013,Москва,не согласовано,Unauthorised,активист,Activist,антиПутин,anti-Putin,активист,Activist,Задержание активиста на Красной площади,,ОВД Китай-город,Красная площадь,1,http://ovdinfo.org/express-news/2013/07/19/na-krasnoy-ploshchadi-u-mavzoleya-zaderzhan-aktivist
