Id,date,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,place,number_of_detentions,links
20,19.01.2012,согласовано,Authorised,митинг,Rally,антифа,Antifa,Комитет 19 января,The 19 January Committee,Марш и митинг в память убитых Маркелова и Бабуровой,March and rally in memory of Markelov and Baburova,Пушкинская,1,http://ovdinfo.org/express-news/80
21,20.01.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,Pussy Riot,Pussy Riot,Pussy Riot (концерт на Лобном месте),Pussy Riot (performance at Lobnoye Mesto),Красная площадь,8,http://ovdinfo.org/express-news/81
22,24.01.2012,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,Росагит,Rosagit,Раздача палаток РосАгитом,"Distribution of tents, RosAgit",Пушкинская,1,http://ovdinfo.org/express-news/83
23,31.01.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,48,http://ovdinfo.org/express-news/86
24,02.02.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,За честные выборы,For fair elections,стихийная,Spontaneous,Информационный прорыв — пикеты у метро,Information breakthrough - pickets at the Metro,метро,1,http://ovdinfo.org/express-news/90
25,07.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,15,http://ovdinfo.org/express-news/91
26,13.02.2012,не согласовано,Unauthorised,акция,Direct action,другое,Other,Femen,Femen,Анти-газпромовская акция Femen,Anti-Gazprom action by Femen,Газпром ,1,http://ovdinfo.org/express-news/94
27,14.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,23,"http://ovdinfo.org/express-news/99, http://ovdinfo.org/express-news/100"
28,18.02.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,Живая цепь свободных ,Human chain of the free,Тверская,13,http://ovdinfo.org/express-news/103
29,19.02.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,Москва сжимает белое кольцо ,White Ring,Крымский вал,3,"http://ovdinfo.org/express-news/110, http://ovdinfo.org/express-news/111"
30,21.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,25,http://ovdinfo.org/express-news/112
31,23.02.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,Солидарность,Solidarity Movement,Путин. Итоги  - раздача брошюр,Putin. Results - distribution of brochures,"Спортивная, Лужники",18,http://ovdinfo.org/express-news/122
32,25.02.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет по голодающей Стецуре,Picket in support of hunger striker Stetsura,Спецприемник,5,http://ovdinfo.org/express-news/125
33,26.02.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,Одиночный пикет,One-person picket,Красная площадь,2,http://ovdinfo.org/express-news/127
34,28.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,16,http://ovdinfo.org/express-news/132
35,29.02.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,Росагит,Rosagit,Раздача палаток РосАгитом,"Distribution of tents, RosAgit",Пушкинская,4,http://ovdinfo.org/express-news/135
36,03.03.2012,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Агитационная акция активистов Солидарности,"Promotional action, Solidarity movement",Метро комсомольская,4,http://ovdinfo.org/express-news/136
37,05.03.2012,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,"Митинг ""Россия без Путина""","Rally ""Russia without Putin""","Лубянка, Пушкинская",258,http://ovdinfo.org/article/5-marta-spisok-zaderzhannykh
38,06.03.2012,не согласовано,Unauthorised,активист,Activist,За честные выборы,For fair elections,другое,Other,Задержание активистов,Activists arrested,м.Охотный ряд,1,http://ovdinfo.org/express-news/187
39,06.03.2012,не согласовано,Unauthorised,другое,Other,За честные выборы,For fair elections,стихийная,Spontaneous,Стихийный протест,Spontaneous protest,Пушкинская,12,http://ovdinfo.org/express-news/186
40,08.03.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,7,http://ovdinfo.org/express-news/194
41,08.03.2012,не согласовано,Unauthorised,другое,Other,За честные выборы,For fair elections,стихийная,Spontaneous,Стихийный протест,Spontaneous protest,пушкинская,20,http://ovdinfo.org/express-news/196
42,10.03.2012,не согласовано,Unauthorised,марш,Marche,другое,Other,Националисты,Nationalists,"Марш националистов, старый Арбат","Nationalists' march, Old Arbat",Киевская,25,http://ovdinfo.org/express-news/199
44,10.03.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,другое,Other,Яблоко,Yabloko,Пикет активиста партии Яблоко,Yabloko party activist;s picket,Тверская,1,http://ovdinfo.org/express-news/205
43,10.03.2012,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,"Задержание активистов после митинга ""За честные выборы""","Activists arrested after the rally ""For Fair Elections""",Новый арбат,5,http://ovdinfo.org/express-news/202
45,10.03.2012,не согласовано,Unauthorised,другое,Other,За честные выборы,For fair elections,стихийная,Spontaneous,Задержаны на подходе,Detained on the way,Пушкинская площадь,3,http://ovdinfo.org/express-news/203
46,13.03.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,Задержание активистов. АрхНадзор,Architectural Watch activists arrested,Козихинский,3,http://ovdinfo.org/express-news/209
47,14.03.2012,не согласовано,Unauthorised,пикет,Picket,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Пикет Pussy Riot,Pussy Riot Picket ,мосгоррайонный суд,1,http://ovdinfo.org/express-news/210
48,14.03.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,Задержание активистов. АрхНадзор,Architectural Watch activists arrested,Козихинский,4,http://ovdinfo.org/express-news/211
49,17.03.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Экологи,Environmentalists,Одиночные пикеты в поддержку Сурена Газаряна и Евгения Витишко,Pickets in support of Suren Ghazaryan and Eugene Vitishko,Площадь Революции,28,http://ovdinfo.org/express-news/218
50,18.03.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,стихийная,Spontaneous,Пикет против наглой лжи НТВ,Picket against NTV's lies,Останкино,95,http://ovdinfo.org/article/zaderzhannye-na-stikhiinom-pikete-protiv-nagloi-lzhi-telekanala-ntv
51,18.03.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,13,http://ovdinfo.org/express-news/240
52,20.03.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,стихийная,Spontaneous,Пикет НТВ,Picket NTV,Останкино,1,http://ovdinfo.org/express-news/257
53,21.03.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Пикет против займов под огромные проценты, рекламирующихся через отделения ""Почты России""",Rally against huge interest loans advertised by the Russian Post Service,Варшавское,5,http://ovdinfo.org/express-news/261
54,23.03.2012,не согласовано,Unauthorised,другое,Other,политзеки,Political prisoners,другое,Other,Судебное слушание по делу Алексея Козлова,A court hearing on the case of Alexei Kozlov,пресненский районный суд,2,http://ovdinfo.org/express-news/263
55,24.03.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет по Магнисткому,Picket on Magnistky,МВД-Калужская,2,http://ovdinfo.org/express-news/265
56,25.03.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,33,"http://ovdinfo.org/express-news/266, http://ovdinfo.org/express-news/267"
57,31.03.2012,не согласовано,Unauthorised,митинг,Rally,другое,Other,Левый фронт,The Left Front,Встреча с Удальцовым,Meeting with Udaltsov,пушкинская,2,http://ovdinfo.org/express-news/271
58,31.03.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,64,http://ovdinfo.org/article/zaderzhannye-31-marta-na-triumfalnoi-spisok
59,01.04.2012,не согласовано,Unauthorised,акция,Direct action,другое,Other,Яблоко,Yabloko,Яблоко против Призыва,Yabloko against conscription,Старый арбат,6,http://www.yabloko.ru/regnews/Moscow/2012/04/01_0
60,01.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,89,http://ovdinfo.org/article/zaderzhaniya-1-aprelya-na-krasnoi-ploshchadi
61,06.04.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,Левый фронт,The Left Front,Одиночные пикеты с призывом к властям выполнять обязательства по капремонту домов,One-person pickets calling on authorities to fulfill obligations on capital repairs of housing,Госдума,8,http://ovdinfo.org/express-news/328
63,08.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,3,http://ovdinfo.org/express-news/332
62,08.04.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,стихийная,Spontaneous,Белое Метро,White Subway,Площадь Революции,4,http://ovdinfo.org/express-news/334
64,10.04.2012,не согласовано,Unauthorised,пикет,Picket,За честные выборы,For fair elections,стихийная,Spontaneous,Пикетирование представительства Астрахани в поддержку Олега Шеина,Astrakhan representation picketing in support of Oleg Shein,"Проспект Мира, д. 3, стр. 1",1,http://ovdinfo.org/express-news/339
65,10.04.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Одиночные пикеты работников подмосковного завода ""Камов"" ""Время Орды закончилось""",One-person pickets by Kamov plant workers near Moscow,Красная площадь,6,http://ovdinfo.org/express-news/340
66,11.04.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,стихийная,Spontaneous,Белая Дума,White Duma,Госдума,16,"http://ovdinfo.org/express-news/342, http://ovdinfo.org/express-news/343, http://ovdinfo.org/express-news/344"
67,15.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,3,http://ovdinfo.org/express-news/348
68,17.04.2012,не согласовано,Unauthorised,акция,Direct action,экология,Environmental,Экологи,Environmentalists,Гринпис,Greenpeace,"отель ""Ренессанс Монарх""",23,http://ovdinfo.org/express-news/350
69,19.04.2012,не согласовано,Unauthorised,пикет,Picket,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Фестиваль Pussy Riot,Festival Pussy Riot,Таганский районный суд,27,http://ovdinfo.org/article/zaderzhaniya-na-aktsii-v-podderzhku-pussy-riot-u-taganskogo-suda
70,19.04.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,другое,Other,Фотопрогулка по Тверской ,Photo-stroll along the Tverskaya,Тверская,7,http://ovdinfo.org/express-news/366
71,21.04.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,"Задержания участников ""Народного схода защитников Цаговского леса""","Arrests of participants of the ""People's gathering of the Tsagovsky forest defenders""",Жуковский,7,http://ovdinfo.org/express-news/374
72,22.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,5,"http://ovdinfo.org/express-news/378, http://ovdinfo.org/express-news/381, http://ovdinfo.org/express-news/380"
73,22.04.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Цаговского леса ,Tsagovsky forest defence,Жуковский,1,http://ovdinfo.org/express-news/384
74,29.04.2012,не согласовано,Unauthorised,акция,Direct action,Pussy Riot,Pussy Riot,другое,Other,В защиту Pussy Riot,Pussy Riot solidarity,ХХС,3,http://ovdinfo.org/express-news/388
75,29.04.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,Солидарность,Solidarity Movement,Задержание активистов,Activists arrested,м.Охотный ряд,1,http://ovdinfo.org/express-news/390
76,29.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,6,http://ovdinfo.org/express-news/387
77,29.04.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Цаговского леса,Tsagovsky forest defence,Жуковский,2,"http://ovdinfo.org/express-news/389, http://ovdinfo.org/express-news/391"
78,30.04.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Цаговского леса,Tsagovsky forest defence,Жуковский,2,http://ovdinfo.org/express-news/395
79,02.05.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,Оргкомитет протестных действий,Protest Actions Organizing Committee,Раздача листовок,Leafleting,м.Комсомольская,5,http://ovdinfo.org/express-news/397
80,03.05.2012,согласовано,Authorised,агитация,Agitation,антиПутин,anti-Putin,другое,Other,Раздача листовок,Leafleting,согласованный митинг у театра Сац,1,http://ovdinfo.org/express-news/398
81,04.05.2012,не согласовано,Unauthorised,другое,Other,другое,Other,другое,Other,Задержание активистов,Activists arrested,Болотная площадь,2,http://ovdinfo.org/express-news/877
82,06.05.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,другое,Other,"Акция ""Не пустим вора в Кремль""","Action ""Do not let the thief in the Kremlin""",Манежная площадь,202,http://ovdinfo.org/article/zaderzhaniya-v-moskve-06052012
83,06.05.2012,согласовано,Authorised,марш,Marche,антиПутин,anti-Putin,Оргкомитет протестных действий,Protest Actions Organizing Committee,Марш миллионов,March of Millions,Болотная Площадь,449,http://ovdinfo.org/article/zaderzhaniya-v-moskve-06052012
84,07.05.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,антиПутин,anti-Putin,Мастерская протестных действий,The Protest Actions Workshop,Белый город,The White City,"Манежная, Китай-Город, Чистые Пруды, Кропоткинская — далее везде",508,http://ovdinfo.org/article/zaderzhaniya-v-moskve-7-maya-2012
85,08.05.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,антиПутин,anti-Putin,стихийная,Spontaneous,Прогулки по бульварам,Stroll along the boulevards,"Чистые пруды, Лубянка, Арбат, Патрики, Пушкинская, Тверская",331,http://ovdinfo.org/article/zaderzhaniya-v-moskve-8-9-maya-2012
86,09.05.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,антиПутин,anti-Putin,стихийная,Spontaneous,Продолжение прогулок по бульварам,Continued stroll along the boulevards,"Баррикадная, Лубянка, Александровский сад",35,"http://ovdinfo.org/express-news/545, http://ovdinfo.org/express-news/546"
87,10.05.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет у спецприемника,Picket at detention center,симферопольский,2,http://ovdinfo.org/express-news/552
88,14.05.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Цаговского леса,Tsagovsky forest defence,жуковский,1,http://ovdinfo.org/express-news/559
89,15.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Задержание активистов,Activists arrested,Чистые пруды,1,http://ovdinfo.org/express-news/561
90,15.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Задержание активистов,Activists arrested,никитский бульвар,4,http://ovdinfo.org/express-news/562
91,16.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,лагерь оккупай-абай,Camp OccupyAbai,"Чистые пруды, баррикадная",28,"http://ovdinfo.org/article/razgon-lagerya-okkupaiabai, http://ovdinfo.org/express-news/569 "
92,16.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайабай,Camp OccupyAbai,баррикадная,33,"http://ovdinfo.org/express-news/578, http://ovdinfo.org/express-news/581, http://ovdinfo.org/express-news/579, http://ovdinfo.org/express-news/583"
93,17.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайабай,Camp OccupyAbai,баррикадная,12,"http://ovdinfo.org/express-news/589, http://ovdinfo.org/express-news/590"
94,18.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайабай,Camp OccupyAbai,баррикадная,2,http://ovdinfo.org/express-news/596
95,18.05.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет в поддержку удальцова,Rally in support of Udaltsov,столичного управления МВД,1,http://ovdinfo.org/express-news/597
96,19.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайбаррикады,Camp OkkupayBarrikady,баррикадная,27,http://ovdinfo.org/article/razgon-lagerya-na-barrikadnoi
97,19.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Прогулки по бульварам,Stroll along the boulevards,никитский бульвар,13,http://ovdinfo.org/express-news/613
98,19.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайарбат,Camp OkkupayArbat,арбат,19,http://ovdinfo.org/express-news/619
99,19.05.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Цаговского леса,Tsagovsky forest defence,жуковский,21,http://ovdinfo.org/express-news/624
100,20.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайарбат,Camp OkkupayArbat,арбат,14,http://ovdinfo.org/express-news/627
101,21.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайбаррикады,Camp OkkupayBarrikady,баррикадная,22,http://ovdinfo.org/express-news/631
102,21.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайарбат,Camp OkkupayArbat,арбат,1,http://ovdinfo.org/express-news/633
103,22.05.2012,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Задержание активистов,Activists arrested,баррикадная,1,http://ovdinfo.org/express-news/638
104,22.05.2012,не согласовано,Unauthorised,пикет,Picket,Против закона о митингах,Against the law on rallies,стихийная,Spontaneous,Пикет против закона о митингах,Picket against the law on rallies,госдума,6,http://ovdinfo.org/express-news/636
105,24.05.2012,не согласовано,Unauthorised,другое,Other,другое,Other,стихийная,Spontaneous,Прохожие у лагеря Оккупайарбат,Passers-by at the camp Okkupayarbat,арбат,5,http://ovdinfo.org/express-news/641
106,25.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Задержание активистов,Activists arrested,чистые пруды,2,http://ovdinfo.org/express-news/643
107,27.05.2012,не согласовано,Unauthorised,митинг,Rally,ЛГБТ,LGBTQ,другое,Other,Гей-парад,Gay Pride,"мосгордума, мэрия",30,http://ovdinfo.org/express-news/649
108,27.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайарбат,Camp OkkupayArbat,арбат,3,"http://ovdinfo.org/express-news/647, http://ovdinfo.org/express-news/648"
109,27.05.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайарбат,Camp OkkupayArbat,арбат,39,"http://ovdinfo.org/express-news/655, http://ovdinfo.org/express-news/656, http://ovdinfo.org/express-news/657, http://ovdinfo.org/express-news/661"
111,28.05.2012,не согласовано,Unauthorised,другое,Other,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Лагерь Оккупайсуд,Camp OkkupayCourt,,4,http://ovdinfo.org/express-news/668
110,28.05.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,#оккупаймур ,# Okkupaymur,петровка,10,"http://ovdinfo.org/express-news/673, http://ovdinfo.org/express-news/674"
112,29.05.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,антиПутин,anti-Putin,Другая Россия,Other Russia,"Одиночные агитационные пикеты ""Другой России""","One-person pickets, Other Russia",пушкинская,4,http://ovdinfo.org/express-news/682
113,29.05.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,#оккупаймур ,# Okkupaymur,петровка,4,http://ovdinfo.org/express-news/681
114,30.05.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,другое,Other,Раздача листовок,Leafleting,метро,1,http://ovdinfo.org/express-news/683
115,31.05.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,133,http://ovdinfo.org/article/zaderzhaniya-na-triumfalnoi-31-maya-2012
116,02.06.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайарбат,Camp OkkupayArbat,арбат,9,http://ovdinfo.org/express-news/711
117,02.06.2012,не согласовано,Unauthorised,оккупай,Occupy,оккупай,Occupy,стихийная,Spontaneous,Лагерь Оккупайабай,Camp OkkupayArbat,Чистопрудный бульвар,5,"http://ovdinfo.org/express-news/713, http://ovdinfo.org/express-news/715"
119,03.06.2012,согласовано,Authorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,"Пикет Другой России ""Россия без Путина""","Picket, Other Russia, ""Russia without Putin""",новокузнецкая,1,http://ovdinfo.org/express-news/722
118,03.06.2012,не согласовано,Unauthorised,агитация,Agitation,другое,Other,другое,Other,Раздача листовок,Leafleting,строгино,2,http://ovdinfo.org/express-news/719
120,04.06.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,другое,Other,Раздача листовок,Leafleting,метро ,1,http://ovdinfo.org/express-news/723
121,05.06.2012,не согласовано,Unauthorised,пикет,Picket,Против закона о митингах,Against the law on rallies,стихийная,Spontaneous,Пикет против принятия закона о митингах,Picket against the law on rallies,Госдума,72,"http://ovdinfo.org/express-news/729, http://ovdinfo.org/express-news/733, http://ovdinfo.org/express-news/731, http://ovdinfo.org/express-news/736, http://ovdinfo.org/express-news/735"
122,06.06.2012,не согласовано,Unauthorised,пикет,Picket,Против закона о митингах,Against the law on rallies,стихийная,Spontaneous,Пикет против принятия закона о митингах,Picket against the law on rallies,совфед,2,http://ovdinfo.org/express-news/743
123,06.06.2012,не согласовано,Unauthorised,прогулка,Stroll,Против закона о митингах,Against the law on rallies,стихийная,Spontaneous,Пикет против принятия закона о митингах,Picket against the law on rallies,Манежная,14,"http://ovdinfo.org/express-news/750, http://ovdinfo.org/express-news/751"
124,06.06.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Химкинского леса,Khimki Forest defence,химки,6,"http://ovdinfo.org/express-news/745, http://ovdinfo.org/express-news/748"
125,07.06.2012,не согласовано,Unauthorised,пикет,Picket,Против закона о митингах,Against the law on rallies,стихийная,Spontaneous,Пикет против принятия закона о митингах,Picket against the law on rallies,Госдума,2,http://ovdinfo.org/express-news/760
126,09.06.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,#оккупаймур,# Okkupaymur,петровка,13,"http://ovdinfo.org/express-news/765, http://ovdinfo.org/express-news/770, http://ovdinfo.org/express-news/771"
127,11.06.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,другое,Other,Раздача листовок,Leafleting,метро проспект мира,2,http://ovdinfo.org/express-news/773
128,13.06.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,#оккупайск,# Okkupaysk,следственного Комитета,5,http://ovdinfo.org/express-news/777
129,16.06.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,другое,Other,Пикет против принятия закона о митингах,Picket against the law on rallies,Пушкинская,2,http://ovdinfo.org/express-news/788
130,16.06.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,#оккупайск,# OkkupaySK,следственного Комитета,17,"http://ovdinfo.org/express-news/780, http://ovdinfo.org/express-news/781, http://ovdinfo.org/express-news/782, http://ovdinfo.org/express-news/784, http://ovdinfo.org/express-news/785, http://ovdinfo.org/express-news/787"
131,17.06.2012,согласовано,Authorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,"Пикет Другой России ""Россия без Путина""","Picket, Other Russia, ""Russia without Putin""",новокузнецкая,6,http://ovdinfo.org/express-news/795
132,20.06.2012,не согласовано,Unauthorised,пикет,Picket,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Пикет в поддержку Pussy Riot,Picket in support of Pussy Riot,таганский районный суд,19,http://ovdinfo.org/express-news/801
133,22.06.2012,согласовано,Authorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,"Пикет Другой России ""Россия без Путина""","Picket, Other Russia, ""Russia without Putin""",новокузнецкая,7,http://ovdinfo.org/express-news/803
134,24.06.2012,согласовано,Authorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,"Пикет Другой России ""Россия без Путина""","Picket, Other Russia, ""Russia without Putin""",новокузнецкая,1,http://ovdinfo.org/express-news/804
136,25.06.2012,не согласовано,Unauthorised,другое,Other,Pussy Riot,Pussy Riot,стихийная,Spontaneous,оккупайрайонный суд,Camp OkkupayCourt,таганский районный суд,4,http://www.ovdinfo.org/express-news/809
135,25.06.2012,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Задержание активистов,Activists arrested,войковская,1,http://ovdinfo.org/express-news/806
137,26.06.2012,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Задержание активистов,Activists arrested,,1,http://ovdinfo.org/express-news/810
