Id,date,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,place,number_of_detentions,links
163,23.08.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Левый фронт,The Left Front,#оккупайск,# Okkupaysk,следственный комитет,8,"http://ovdinfo.org/express-news/928, http://ovdinfo.org/express-news/931"
164,25.08.2012,не согласовано,Unauthorised,акция,Direct action,Pussy Riot,Pussy Riot,стихийная,Spontaneous,"Акция защитников Pussy Riot ""Прогулка в балаклавах""","Pussy Riot solidarity action ""Balaclava stroll""",Памятник Пушкину,6,http://ovdinfo.org/express-news/932
165,26.08.2012,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Задержание активистов,Activists arrested,,2,http://ovdinfo.org/express-news/933
166,30.08.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Левый фронт,The Left Front,#оккупайск,# Okkupaysk,следственный комитет,2,http://ovdinfo.org/express-news/938
168,31.08.2012,не согласовано,Unauthorised,акция,Direct action,Стратегия-31,Strategy-31,Другая Россия,Other Russia,Стратегия-31,Strategy 31,мэрия,6,http://ovdinfo.org/express-news/939
167,31.08.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,36,http://ovdinfo.org/article/triumfalnaya-ploshchad-31-avgusta-spisok-zaderzhannykh
169,01.09.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,"""Балаклавинг""","""Balaklaving""",Арбатская,5,"http://ovdinfo.org/express-news/951, http://ovdinfo.org/express-news/952, http://ovdinfo.org/express-news/953"
170,01.09.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет в поддержку Таисии Осиповой,Rally in support of Taisiya Osipova,Смоленская,1,http://ovdinfo.org/express-news/950
171,02.09.2012,не согласовано,Unauthorised,другое,Other,Pussy Riot,Pussy Riot,стихийная,Spontaneous,оккупайрайонный суд,Camp OkkupayCourt,мосгоррайонный суд,3,http://ovdinfo.org/express-news/954
172,05.09.2012,не согласовано,Unauthorised,акция,Direct action,экология,Environmental,Экологи,Environmentalists,Акция Гринпис у штаб-квартиры Газпрома,Greenpeace action at Gazprom HQ,Академическая,10,http://ovdinfo.org/express-news/955
173,06.09.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Левый фронт,The Left Front,#оккупайск,# Okkupaysk,следственный комитет,5,http://ovdinfo.org/express-news/956
174,08.09.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,"""Балаклавинг""","""Balaklaving""",Александровский сад,8,http://ovdinfo.org/express-news/963
175,12.09.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Левый фронт,The Left Front,#оккупайск,# Okkupaysk,следственный комитет,1,http://ovdinfo.org/express-news/971
176,13.09.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,"Одиночные пикеты ""Свободу Таисии Осиповой!""","One-person pickets ""Freedom to Taisia ​​Osipova!""","м. Курская, Старый Арбат",2,http://ovdinfo.org/express-news/974
177,14.09.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Против политических репрессий,Against political repression,МГУ,1,http://ovdinfo.org/express-news/976
178,15.09.2012,согласовано,Authorised,марш,Marche,антиПутин,anti-Putin,Оргкомитет протестных действий,Protest Actions Organizing Committee,Марш миллионов,March of Millions,проспект Сахарова,5,http://ovdinfo.org/express-news/980
180,16.09.2012,не согласовано,Unauthorised,прогулка,Stroll,антиПутин,anti-Putin,стихийная,Spontaneous,Прогулка после митинга Марш миллионов,Stroll after the rally March of the Millions,Чистые пруды,23,http://ovdinfo.org/express-news/981
179,16.09.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,"Одиночный пикет в поддержку ""узника 6 мая"" Степана Зимина",Pickets in support of 6 May prisoner Stepan Zimin,Арбат,2,http://ovdinfo.org/express-news/984
181,18.09.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,Другая Россия,Other Russia,"Одиночные пикеты ""Свободу Таисии Осиповой!""","Pickets ""Freedom to Taisia ​​Osipova!""",Арбат,3,http://ovdinfo.org/express-news/985
182,22.09.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,"""Балаклавинг""","""Balaklaving""",Александровский сад,8,http://ovdinfo.org/express-news/987
183,29.09.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,"""Прогулка свободы"", одиночный пикет ""Путин - вор""","""Freedom Stroll"", one-person picket ""Putin - a thief""",Китай-город,5,"http://ovdinfo.org/express-news/990, http://ovdinfo.org/express-news/991"
184,01.10.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Поддержка задержанных у ОВД Преображенское,Supporters arrested at Preobrazhenskoye police station,Овд Приображенский,7,"http://ovdinfo.org/express-news/1003, http://ovdinfo.org/express-news/999"
185,03.10.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,стихийная,Spontaneous,Задержание журналиста,Journalist arrested,площадь революции,1,http://ovdinfo.org/express-news/1006
186,04.10.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,стихийная,Spontaneous,"Акция у Администрации президента ""Подарки Путину""","Action near the presidential administration ""Gifts to Putin""",Китай-город,5,http://ovdinfo.org/express-news/1007
187,06.10.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,стихийная,Spontaneous,"Раздача доклада ""Путин коррупция""","Distribution of the report ""Putin corruption""",Октябрьская,1,http://ovdinfo.org/express-news/1012
188,06.10.2012,не согласовано,Unauthorised,активист,Activist,антиПутин,anti-Putin,стихийная,Spontaneous,Задержание активистов,Activists arrested,Красная площадь,2,http://ovdinfo.org/express-news/1011
